Men's Team Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NAVY,265,,5,UNH,265,,5,UMASS,265,,,BU,80,195,130,405,,4,UNH,230,265,195,690,,,,,,,,
6,IOWA,255,,6,UF,255,,6,ARMY,255,,,CLEM,70,0,90,160,,5,NAVY,265,280,95,640,,,,,,,,
7,MICH,240,,7,MSU,240,,7,MSU,240,,,CU,0,0,0,0,,6,RU,280,180,170,630,,,,,,,,
8,UNH,230,,8,SCFC,230,,8,UF,230,,,DART,170,155,85,410,,7,W&M,145,145,305,595,,,,,,,,
9,ARMY,205,,9,MHC,205,,9,IND,205,,,GWU,0,0,120,120,,8,UMASS,180,130,265,575,,,,,,,,
10,MHC,195,,10,BU,195,,10,UNH,195,,,IND,155,170,205,530,,9,ARMY,205,90,255,550,,,,,,,,
11,UMASS,180,,11,RU,180,,11,ASU,180,,,IOWA,255,75,155,485,,10,IND,155,170,205,530,,,,,,,,
12,DART,170,,12,IND,170,,12,RU,170,,,MICH,240,305,290,835,,11,UVA,130,290,75,495,,,,,,,,
13,IND,155,,13,DART,155,,13,IOWA,155,,,MSU,320,240,240,800,,12,ASU,305,0,180,485,,,,,,,,
14,W&M,145,,14,W&M,145,,14,PITT,145,,,NAVY,265,280,95,640,,13,IOWA,255,75,155,485,,,,,,,,
15,UVA,130,,15,UMASS,130,,15,BU,130,,,NU,0,0,0,0,,14,UC,60,95,280,435,,,,,,,,
16,WISC,120,,16,OBER,120,,16,GWU,120,,,OBER,45,120,40,205,,15,DART,170,155,85,410,,,,,,,,
17,SWAT,95,,17,UC,95,,17,NAVY,95,,,PITT,50,0,145,195,,16,BU,80,195,130,405,,,,,,,,
18,SCFC,90,,18,ARMY,90,,18,CLEM,90,,,RU,280,180,170,630,,17,UVM,85,0,320,405,,,,,,,,
19,UVM,85,,19,UMD,85,,19,DART,85,,,SWAT,95,80,60,235,,18,TAMU,65,320,0,385,,,,,,,,
20,BU,80,,20,SWAT,80,,20,BRDLEY,80,,,TAMU,65,320,0,385,,19,SWAT,95,80,60,235,,,,,,,,
21,VT,75,,21,IOWA,75,,21,UVA,75,,,TXST,0,0,0,0,,20,WISC,120,60,45,225,,,,,,,,
22,CLEM,70,,22,BRDLEY,70,,22,MHC,70,,,UC,60,95,280,435,,21,OBER,45,120,40,205,,,,,,,,
23,TAMU,65,,23,VT,65,,23,SCFC,65,,,UF,290,255,230,775,,22,PITT,50,0,145,195,,,,,,,,
24,UC,60,,24,WISC,60,,24,SWAT,60,,,UMASS,180,130,265,575,,23,VT,75,65,50,190,,,,,,,,
25,PITT,50,,,,,,25,VT,50,,,UMD,0,85,0,85,,24,CLEM,70,0,90,160,,,,,,,,
26,OBER,45,,,,,,26,WISC,45,,,UNH,230,265,195,690,,25,BRDLEY,0,70,80,150,,,,,,,,
,,,,,,,,27,OBER,40,,,USC,0,0,35,35,,26,GWU,0,0,120,120,,,,,,,,
,,,,,,,,28,USC,35,,,UVA,130,290,75,495,,27,UMD,0,85,0,85,,,,,,,,
,,,,,,,,,,,,,UVM,85,0,320,405,,28,USC,0,0,35,35,,,,,,,,
,,,,,,,,,,,,,VT,75,65,50,190,,29,CU,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,W&M,145,145,305,595,,30,NU,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,WISC,120,60,45,225,,31,TXST,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Point Totals - Overall 6 Weapon,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Alphabetical,,,By Place,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Place,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ARMY,1240,,1,MICH,1690,,,,,,,,,,,,,,
,,,,,,,,,,,,,ASU,1110,,2,MSU,1415,,,,,,,,,,,,,,
,,,,,,,,,,,,,BRDLEY,175,,3,UF,1390,,,,,,,,,,,,,,
,,,,,,,,,,,,,BU,765,,4,RU,1270,,,,,,,,,,,,,,
,,,,,,,,,,,,,CLEM,340,,5,ARMY,1240,,,,,,,,,,,,,,
,,,,,,,,,,,,,CU,835,,6,NAVY,1205,,,,,,,,,,,,,,
